,,2020,,,,,,,2021,,,,,,
,,Quarter 1,Quarter 2,Semester 1,Quarter 3,Quarter 4,Semester 2,Annual,Quarter 1,Quarter 2,Semester 1,Quarter 3,Quarter 4,Semester 2,Annual
Irrigated Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),8259.18,24944.36,33203.54,23108.61,24620.25,47728.85,80932.39,9010,27367.81,36377.81,15407.6,28762,44169.6,80547.41
,....Abra,1746,2904,4650,8985.87,913,9898.87,14548.87,1851,2799.27,4650.27,2152,7747,9899,14549.27
,....Apayao,214.46,9447,9661.46,2241,5903,8144,17805.46,521,9140,9661,1618,5858,7476,17137
,....Benguet,1621,1101,2722,1621,1560,3181,5903,1621,1101,2722,1621,1560,3181,5903
,....Ifugao,3909.72,2560.36,6470.08,3127.74,5302,8429.74,14899.82,3910,2802.73,6712.73,2883.6,2640,5523.6,12236.33
,....Kalinga,648,8296,8944,4184,10442,14626,23570,987,10849.81,11836.81,4184,10457,14641,26477.81
,....Mountain Province,120,636,756,2949,500.25,3449.25,4205.25,120,675,795,2949,500,3449,4244
,..REGION I (ILOCOS REGION),67586,34062,101648,32401,149567,181968,283616,66220,38644,104864,30301,149318,179619,284483
,....Ilocos Norte,9154,5108,14262,8814,31777,40591,54853,7092,7172,14264,8673,31679,40352,54616
,....Ilocos Sur,5254,1741,6995,5430,19951,25381,32376,5084,2450,7534,4758,19863,24621,32155
,....La Union,6006,2167,8173,2437,14003,16440,24613,5629,2115,7744,2535,13940,16475,24219
,....Pangasinan,47172,25046,72218,15720,83836,99556,171774,48415,26907,75322,14335,83836,98171,173493
,..REGION II (CAGAYAN VALLEY),110896,157416,268312,69828,188265,258093,526405,112302,163894,276196,80304,187977,268281,544477
,....Batanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,....Cagayan,27461,66629,94090,27651,58082,85733,179823,29495,66571,96066,24280,67116,91396,187462
,....Isabela,62950,72823,135773,28804,105383,134187,269960,60704,75076,135780,43721,91169,134890,270670
,....Nueva Vizcaya,14906,12208,27114,12276,14576,26852,53966,17540,14683,32223,11233,18882,30115,62338
,....Quirino,5579,5756,11335,1097,10224,11321,22656,4563,7564,12127,1070,10810,11880,24007
,..REGION III (CENTRAL LUZON),139380.45,186755.15,326135.6,63286.38,270178.12,333464.5,659600.1,144479.27,184179,328658.27,73041.7,281659.52,354701.22,683359.49
,....Aurora,4855,6306.12,11161.12,4517,6428,10945,22106.12,5085,7500,12585,6470,5720,12190,24775
,....Bataan,8617,5942,14559,2284.07,11088,13372.07,27931.07,8983.45,5537,14520.45,1680,10410.52,12090.52,26610.97
,....Bulacan,19829.45,18343.03,38172.48,3390.3,26674,30064.3,68236.78,19934,16655,36589,6270,29329,35599,72188
,....Nueva Ecija,33852,115315,149167,27137,122149,149286,298453,35056.82,115858,150914.82,27828,125537,153365,304279.82
,....Pampanga,26890,18538,45428,9157,31567.12,40724.12,86152.12,29341,16986,46327,14346.7,33917,48263.7,94590.7
,....Tarlac,38634,15691,54325,13770,60415,74185,128510,39583,16781,56364,14441,63763,78204,134568
,....Zambales,6703,6620,13323,3031,11857,14888,28211,6496,4862,11358,2006,12983,14989,26347
,..REGION IV-A (CALABARZON),15055.39,25499.61,40555,7450.57,28193.89,35644.46,76199.46,16668.33,26001,42669.33,8948.35,28817.39,37765.74,80435.07
,....Batangas,2169,1449,3618,483,3691.03,4174.02,7792.03,2039,1564,3603,998.35,3346,4344.35,7947.35
,....Cavite,1621.89,1491,3112.89,1297.15,2320.09,3617.24,6730.13,2087.58,1323,3410.58,1322,2439.39,3761.39,7171.97
,....Laguna,4148,12207.61,16355.61,2228.32,9097.11,11325.43,27681.04,4347,11532,15879,1731,9688,11419,27298
,....Quezon,6457,8980,15437,3286,11735,15021,30458,7068,9732,16800,4580,11475,16055,32855
,....Rizal,659.5,1372,2031.5,156.1,1350.66,1506.76,3538.26,1126.75,1850,2976.75,317,1869,2186,5162.75
,..MIMAROPA REGION,45504,44041,89545,20640,91671.6,112311.6,201856.6,48236,47506,95742,22620.7,93444.3,116065,211807
,....Marinduque,1165,592,1757,538,972,1510,3267,1178,156,1334,577,996,1573,2907
,....Occidental Mindoro,9544,12498,22042,1844,28831,30675,52717,10704,13631,24335,1858,32057,33915,58250
,....Oriental Mindoro,16243,24823,41066,5360,37418.6,42778.6,83844.6,17558,25197,42755,5334.7,37403.3,42738,85493
,....Palawan,16319,5879,22198,12595,22035,34630,56828,16442,8412,24854,14123,21059,35182,60036
,....Romblon,2233,249,2482,303,2415,2718,5200,2354,110,2464,728,1929,2657,5121
,..REGION V (BICOL REGION),42657,63927,106584,43901,72823.46,116724.46,223308.46,47344,66424.22,113768.22,44021.9,73921.2,117943.1,231711.32
,....Albay,8010,14100,22110,9800,12010,21810,43920,8330,13505,21835,9604,11905,21509,43344
,....Camarines Norte,3294,3409,6703,3096,4974,8070,14773,3360,4000,7360,3252,4840,8092,15452
,....Camarines Sur,23987,32199,56186,25780,41590,67370,123556,28011,34445,62456,25827,42761,68588,131044
,....Catanduanes,1078,856,1934,1071,889.46,1960.46,3894.46,1481,735.22,2216.22,1049.9,922.2,1972.1,4188.32
,....Masbate,3129,4237,7366,1742,3366,5108,12474,3133,4232,7365,1689,3393,5082,12447
,....Sorsogon,3159,9126,12285,2412,9994,12406,24691,3029,9507,12536,2600,10100,12700,25236
,..REGION VI (WESTERN VISAYAS),84250,23023,107273,93346,92089,185435,292708,85616,28140,113756,100558,82927,183485,297241
,....Aklan,7751,2150,9901,4815,4872,9687,19588,5153,2303,7456,3629,6221,9850,17306
,....Antique,5581,3870,9451,14114,11528,25642,35093,11986,6152,18138,14306,12149,26455,44593
,....Capiz,9230,5400,14630,8550,7456,16006,30636,9240,6260,15500,9060,7364,16424,31924
,....Guimaras,1400,198,1598,1460,1535,2995,4593,1323,260,1583,974,1725,2699,4282
,....Iloilo,43208,3685,46893,31007,39886,70893,117786,41219,5215,46434,39339,28098,67437,113871
,....Negros Occidental,17080,7720,24800,33400,26812,60212,85012,16695,7950,24645,33250,27370,60620,85265
,..REGION VII (CENTRAL VISAYAS),17631,10629,28260,4829,25344,30173,58433,19744,11348,31092,6070,24325,30395,61487
,....Bohol,12978,6971,19949,1343,16951,18294,38243,14619,7337,21956,2179,15371,17550,39506
,....Cebu,1017,493,1510,404,1413,1817,3327,1122,550,1672,465,1284,1749,3421
,....Negros Oriental,3626,3000,6626,3081,6760,9841,16467,3886,3300,7186,3264,7600,10864,18050
,....Siquijor,10,165,175,1,220,221,396,117,161,278,162,70,232,510
,..REGION VIII (EASTERN VISAYAS),29938,40313,70251,14546,37374,51920,122171,30086.21,30044,60130.21,27340.12,34052,61392.12,121522.32
,....Biliran,1652,4526,6178,2042,4083,6125,12303,1290,4608,5898,1956,4438,6394,12292
,....Eastern Samar,319,1215,1534,1310,1989,3299,4833,385.21,1154,1539.21,1421.85,1696,3117.85,4657.06
,....Leyte,22713,23600,46313,8015,23295,31310,77623,22693,15207,37900,20706.27,20073,40779.27,78679.27
,....Northern Samar,1385,2068,3453,346,441,787,4240,1549,350,1899,395,426,821,2720
,....Samar,1209,1536,2745,1335,1446,2781,5526,1509,1515,3024,1323,1370,2693,5717
,....Southern Leyte,2660,7368,10028,1498,6120,7618,17646,2660,7210,9870,1538,6049,7587,17457
,..REGION IX (ZAMBOANGA PENINSULA),25278,14476.45,39754.45,30171,19232.95,49403.95,89158.4,30946,14778.2,45724.2,29745.28,18592.04,48337.32,94061.53
,....Zamboanga del Norte,4916,1229,6145,2800,5726,8526,14671,5053,1293.72,6346.72,3150.28,7009.51,10159.79,16506.51
,....Zamboanga del Sur,12939,10643.95,23582.95,20311,6653.95,26964.95,50547.9,19950,11730.48,31680.48,19831,6628.53,26459.53,58140.02
,....Zamboanga Sibugay,5714,1766,7480,6794,4879,11673,19153,5943,1754,7697,6764,4954,11718,19415
,....Zamboanga City,1709,837.5,2546.5,266,1974,2240,4786.5,0,0,0,0,0,0,0
,..REGION X (NORTHERN MINDANAO),36164,30516,66680,39346,38627,77973,144653,38311,28203,66514,40016,37542,77558,144072
,....Bukidnon,25406,13500,38906,22327,24752,47079,85985,27093,13165,40258,22502,23266,45768,86026
,....Camiguin,55,231,286,40,237,277,563,74,216,290,55,233,288,578
,....Lanao del Norte,6250,9673,15923,10500,8057,18557,34480,6155,8413,14568,10900,8390,19290,33858
,....Misamis Occidental,3095,5750,8845,5183,4141,9324,18169,3779,5163,8942,5253,4280,9533,18475
,....Misamis Oriental,1358,1362,2720,1296,1440,2736,5456,1210,1246,2456,1306,1373,2679,5135
,..REGION XI (DAVAO REGION),24761.7,17514,42275.7,23690,23217,46907,89182.7,25959.48,18861,44820.48,25294.1,23676,48970.1,93790.58
,....Davao de Oro (Compostela Valley),6060,4480,10540,6060,7050,13110,23650,5807,5637,11444,6820,7418,14238,25682
,....Davao del Norte,6925,6183,13108,8360,5034,13394,26502,6493.5,6979,13472.5,8412.1,5984,14396.1,27868.6
,....Davao del Sur,9377,1626,11003,6655,6270,12925,23928,11235,2264,13499,8105,5879,13984,27483
,....Davao Occidental,44.7,113,157.7,72,86,158,315.7,62.98,161,223.98,51,110,161,384.98
,....Davao Oriental,1688,4551,6239,1918,4140,6058,12297,2361,3820,6181,1906,4285,6191,12372
,....City of Davao,667,561,1228,625,637,1262,2490,0,0,0,0,0,0,0
,..REGION XII (SOCCSKSARGEN),91852,23020.98,114872.98,76143.84,71815,147958.84,262831.82,95813,20794.98,116607.98,86309.73,68957,155266.73,271874.71
,....Cotabato (North Cotabato),33071,7441,40512,29566,24453,54019,94531,34469,7352,41821,30194,24763,54957,96778
,....Sarangani,1995,1607.98,3602.98,3079.84,3253,6332.84,9935.82,1823,1791.98,3614.98,3087,3263,6350,9964.98
,....South Cotabato,23933,5947,29880,20736,18862,39598,69478,24023,7839,31862,22397,15115,37512,69374
,....Sultan Kudarat,32853,8025,40878,22762,25247,48009,88887,35498,3812,39310,30631.73,25816,56447.73,95757.73
,..REGION XIII (CARAGA),6018.3,43864,49882.3,14044,33320.51,47364.51,97246.81,6112,43110,49222,5487,33715,39202,88424
,....Agusan del Norte,680,7399,8079,805,9424,10229,18308,685,7091,7776,835,8782,9617,17393
,....Agusan del Sur,55,20555,20610,6675,15925,22600,43210,180,20550,20730,1020,16835,17855,38585
,....Dinagat Islands,220,810,1030,500,350,850,1880,250,862,1112,356,363,719,1831
,....Surigao del Norte,1935,6165,8100,2015,4164.51,6179.51,14279.51,2012,6175,8187,655,4170,4825,13012
,....Surigao del Sur,3128.3,8935,12063.3,4049,3457,7506,19569.3,2985,8432,11417,2621,3565,6186,17603
,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),11247,8811,20058,13061,12032.62,25093.62,45151.62,11531.65,7404.38,18936.03,13936,12056.62,25992.62,44928.65
,....Basilan,90,2,92,4,2,6,98,90,12.38,102.38,35,26,61,163.38
,....Lanao del Sur,3498,4982,8480,5014,5362,10376,18856,3491.5,4982,8473.5,5164,5362,10526,18999.5
,....Maguindanao,7659,3827,11486,8033,6668.62,14701.62,26187.62,7950.15,2410,10360.15,8717,6668.62,15385.62,25745.77
,....Sulu,0,0,0,10,0,10,10,0,0,0,20,0,20,20
,....Tawi-tawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainfed Palay,..CORDILLERA ADMINISTRATIVE REGION (CAR),10,1120,1130,4106,16393.8,20499.8,21629.8,167,969,1136,2345.14,17527.2,19872.34,21008.34
,....Abra,0,0,0,2174,6659.8,8833.8,8833.8,0,0,0,595.14,8239,8834.14,8834.14
,....Apayao,10,1120,1130,1901,5175,7076,8206,167,964,1131,1746,5015.2,6761.2,7892.2
,....Benguet,0,0,0,0,1221,1221,1221,0,0,0,0,939,939,939
,....Ifugao,0,0,0,31,502,533,533,0,0,0,4,498,502,502
,....Kalinga,0,0,0,0,1915,1915,1915,0,5,5,0,1915,1915,1920
,....Mountain Province,0,0,0,0,921,921,921,0,0,0,0,921,921,921
,..REGION I (ILOCOS REGION),251,0,251,6205,117629,123834,124085,247,0,247,6355,117950,124305,124552
,....Ilocos Norte,251,0,251,1089,10020,11109,11360,243,0,243,482,10478,10960,11203
,....Ilocos Sur,0,0,0,1477,17229,18706,18706,4,0,4,1053,17274,18327,18331
,....La Union,0,0,0,380,13876,14256,14256,0,0,0,379,13755,14134,14134
,....Pangasinan,0,0,0,3259,76504,79763,79763,0,0,0,4441,76443,80884,80884
,..REGION II (CAGAYAN VALLEY),17929,19759,37688,1661,23963,25624,63312,19545,20272.5,39817.5,1084.85,27742,28826.85,68644.35
,....Batanes,0,0,0,23,56,79,79,0,1.5,1.5,9.85,38,47.85,49.35
,....Cagayan,12758,14591,27349,1226,12715,13941,41290,13251,14017,27268,819,16013,16832,44100
,....Isabela,3396,4662,8058,275,8636,8911,16969,4731,5512,10243,148,8633,8781,19024
,....Nueva Vizcaya,1215,212,1427,137,1047,1184,2611,1279,162,1441,108,1219,1327,2768
,....Quirino,560,294,854,0,1509,1509,2363,284,580,864,0,1839,1839,2703
,..REGION III (CENTRAL LUZON),1006,200,1206,6728,43674,50402,51608,1029,2050,3079,5549.02,36075,41624.02,44703.02
,....Aurora,362,200,562,276,254,530,1092,373,360,733,340,224,564,1297
,....Bataan,0,0,0,0,333,333,333,0,0,0,0,352,352,352
,....Bulacan,550,0,550,904,11696,12600,13150,554,1690,2244,1267,11386,12653,14897
,....Nueva Ecija,0,0,0,3200,17678,20878,20878,0,0,0,2176.02,12236,14412.02,14412.02
,....Pampanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,....Tarlac,94,0,94,426,7846,8272,8366,102,0,102,113,4906,5019,5121
,....Zambales,0,0,0,1922,5867,7789,7789,0,0,0,1653,6971,8624,8624
,..REGION IV-A (CALABARZON),7776.25,6923,14699.25,3378.68,11988.3,15366.98,30066.23,8189,6997,15186,1846,13070.9,14916.9,30102.9
,....Batangas,486,50,536,440.27,4012.85,4453.12,4989.12,793,70,863,126,3778,3904,4767
,....Cavite,0,0,0,141,509,650,650,0,0,0,40,302.9,342.9,342.9
,....Laguna,201,176,377,150.21,170,320.21,697.21,216,116,332,150,588,738,1070
,....Quezon,6946,6697,13643,2631,6599,9230,22873,7090,6810,13900,1497,7840,9337,23237
,....Rizal,143.25,0,143.25,16.2,697.45,713.65,856.9,90,1,91,33,562,595,686
,..MIMAROPA REGION,20864,6371,27235,8440,55709,64149,91384,21108,8321,29429,10064,58830.38,68894.38,98323.38
,....Marinduque,1480,163,1643,425,921,1346,2989,1508,153,1661,446,935,1381,3042
,....Occidental Mindoro,0,0,0,1036,25677,26713,26713,0,0,0,1067,26653.38,27720.38,27720.38
,....Oriental Mindoro,3680,3338,7018,427,8607,9034,16052,3868,3528,7396,589,8738,9327,16723
,....Palawan,13389,2766,16155,6218,18014,24232,40387,13285,4640,17925,7739,20179,27918,45843
,....Romblon,2315,104,2419,334,2490,2824,5243,2447,0,2447,223,2325,2548,4995
,..REGION V (BICOL REGION),26232,37370,63602,11517,48201.53,59718.53,123320.53,24674,31033.36,55707.36,10292.27,48298.61,58590.88,114298.24
,....Albay,2200,2334,4534,665,4774,5439,9973,2425,2472,4897,629,4763,5392,10289
,....Camarines Norte,2895,2738,5633,1814,2373,4187,9820,2969,958,3927,2173,2281,4454,8381
,....Camarines Sur,11743,13994,25737,6437,17294,23731,49468,9469,9376,18845,5357,17962,23319,42164
,....Catanduanes,987,1305,2292,1033,1695.53,2728.53,5020.53,1438,1175.36,2613.36,546.27,1057.61,1603.88,4217.24
,....Masbate,7369,13494,20863,1448,17876,19324,40187,7357,13492,20849,1455,17809,19264,40113
,....Sorsogon,1038,3505,4543,120,4189,4309,8852,1016,3560,4576,132,4426,4558,9134
,..REGION VI (WESTERN VISAYAS),108084.94,15130,123214.94,109238,131775,241013,364227.94,110954,21280,132234,128956,118496,247452,379686
,....Aklan,6677,1754,8431,4431,5953,10384,18815,5414,1961,7375,3707,6059,9766,17141
,....Antique,3205.94,385,3590.94,16509,15900,32409,35999.94,5164,535,5699,16449,15867,32316,38015
,....Capiz,30543,10482,41025,19410,18039,37449,78474,31256,15158,46414,26615,15100,41715,88129
,....Guimaras,4201,103,4304,6264,6249,12513,16817,4160,125,4285,4641,6525,11166,15451
,....Iloilo,58318,2076,60394,45924,66394,112318,172712,59930,3116,63046,59964,56195,116159,179205
,....Negros Occidental,5140,330,5470,16700,19240,35940,41410,5030,385,5415,17580,18750,36330,41745
,..REGION VII (CENTRAL VISAYAS),8197,3625,11822,620,19589,20209,32031,10593,5058,15651,970,17401,18371,34022
,....Bohol,7212,3427,10639,330,15797,16127,26766,9522,4744,14266,366,13769,14135,28401
,....Cebu,57,67,124,40,140,180,304,72,75,147,67,134,201,348
,....Negros Oriental,928,120,1048,250,3612,3862,4910,970,220,1190,506,3478,3984,5174
,....Siquijor,0,11,11,0,40,40,51,29,19,48,31,20,51,99
,..REGION VIII (EASTERN VISAYAS),45662,43221,88883,15844,35518,51362,140245,53436,22258,75694,17858.99,32200,50058.99,125752.99
,....Biliran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,....Eastern Samar,6835,4239,11074,438,2579,3017,14091,8040,2922,10962,2897.22,2270,5167.22,16129.22
,....Leyte,10390,10708,21098,964,12690,13654,34752,10380,4592,14972,968,11530,12498,27470
,....Northern Samar,7190,19000,26190,7460,2131,9591,35781,13606,5490,19096,7005,1860,8865,27961
,....Samar,21033,8570,29603,6842,17726,24568,54171,21182,8560,29742,6829,16134,22963,52705
,....Southern Leyte,214,704,918,140,392,532,1450,228,694,922,159.77,406,565.77,1487.77
,..REGION IX (ZAMBOANGA PENINSULA),15858,6124.91,21982.91,16729,29756.28,46485.28,68468.19,17072,5562.4,22634.4,16975.4,28229.2,45204.6,67839.01
,....Zamboanga del Norte,5846,1862,7708,2640,9694,12334,20042,5931,1888.69,7819.69,3229.4,7922.54,11151.94,18971.63
,....Zamboanga del Sur,5917,797.91,6714.91,7983,7491.79,15474.79,22189.7,6530,867.71,7397.71,8871,8225.66,17096.66,24494.38
,....Zamboanga Sibugay,3901,3455,7356,5075,12043,17118,24474,4611,2806,7417,4875,12081,16956,24373
,....Zamboanga City,194,10,204,1031,527.49,1558.49,1762.49,0,0,0,0,0,0,0
,..REGION X (NORTHERN MINDANAO),4067,2534,6601,9830,6031,15861,22462,4329,2553,6882,9905,5011,14916,21798
,....Bukidnon,3072,1850,4922,6200,3698,9898,14820,3336,1963,5299,6195,3326,9521,14820
,....Camiguin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,....Lanao del Norte,770,540,1310,3170,1600,4770,6080,796,440,1236,3400,1179,4579,5815
,....Misamis Occidental,160,80,240,220,600,820,1060,150,80,230,150,400,550,780
,....Misamis Oriental,65,64,129,240,133,373,502,47,70,117,160,106,266,383
,..REGION XI (DAVAO REGION),2704,4025,6729,3556,3451,7007,13736,3161,3690,6851,3868,3504,7372,14223
,....Davao de Oro (Compostela Valley),1119,1552,2671,1513,1607,3120,5791,1214,1442,2656,1633,1403,3036,5692
,....Davao del Norte,553,615,1168,591,810,1401,2569,538,672,1210,841,1053,1894,3104
,....Davao del Sur,0,0,0,27,0,27,27,349,294,643,479,345,824,1467
,....Davao Occidental,65,56,121,87,169,256,377,52,97,149,148,165,313,462
,....Davao Oriental,641,1419,2060,772,495,1267,3327,1008,1185,2193,767,538,1305,3498
,....City of Davao,326,383,709,566,370,936,1645,0,0,0,0,0,0,0
,..REGION XII (SOCCSKSARGEN),19542,2545,22087,21836.99,27930.99,49767.98,71854.98,20835,3010.99,23845.99,23819,26936,50755,74600.99
,....Cotabato (North Cotabato),10374,446,10820,7410,15331,22741,33561,10957,435,11392,7500,15168,22668,34060
,....Sarangani,358,226,584,1087.99,659.99,1747.98,2331.98,196,178.99,374.99,1043,867,1910,2284.99
,....South Cotabato,4158,935,5093,4513,5778,10291,15384,3849,1765,5614,6821,3509,10330,15944
,....Sultan Kudarat,4652,938,5590,8826,6162,14988,20578,5833,632,6465,8455,7392,15847,22312
,..REGION XIII (CARAGA),1923,34974,36897,4883,17046.24,21929.24,58826.24,2234,35205,37439,3548,18467,22015,59454
,....Agusan del Norte,450,935,1385,405,730,1135,2520,453,1035,1488,505,982,1487,2975
,....Agusan del Sur,50,24485,24535,3065,14690,17755,42290,254,24596,24850,1527,15660,17187,42037
,....Dinagat Islands,112,353,465,380,158,538,1003,144,373,517,338,196,534,1051
,....Surigao del Norte,1023,3821,4844,425,640.24,1065.24,5909.24,1090,3840,4930,443,646,1089,6019
,....Surigao del Sur,288,5380,5668,608,828,1436,7104,293,5361,5654,735,983,1718,7372
,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),61856.62,23104.2,84960.82,57520,45704,103224,188184.82,62280.17,23467,85747.17,59823,46277,106100,191847.17
,....Basilan,24,7,31,0,8,8,39,41.67,0,41.67,8,5,13,54.67
